id,premise,theme,difficulty,uniqueness,engagement,priority
MF-001,Last signal from Earth after 100 years,Consciousness,Medium,High,High,1
MF-002,They gave everyone a second chance - except her,Choice,Low,Medium,High,2
MF-003,The algorithm knows you better than yourself,Identity,Medium,High,High,3
MF-004,She's been alone so long she forgot fear,Survival,Low,Low,Medium,4
MF-005,The stars started disappearing,Mystery,High,High,High,5
MF-006,His memories weren't his own,Identity,Medium,Medium,High,6
MF-007,Time runs backwards in her city,Time,High,High,High,7
MF-008,The ocean remembers everything,Consciousness,Medium,Medium,Medium,8
MF-009,Last choice before the end,Choice,Low,Medium,High,9
MF-010,Empty cities tell stories,Isolation,Low,Medium,High,10
