day,date,video_id,title,pillar,duration_target,publish_time_utc,theme,hook,notes
1,,MF-011,,,,,,,
2,,MF-012,,,,,,,
3,,MF-013,,,,,,,
4,,MF-014,,,,,,,
5,,MF-015,,,,,,,
6,,MF-016,,,,,,,
7,,MF-017,,,,,,,
8,,MF-018,,,,,,,
9,,MF-019,,,,,,,
10,,MF-020,,,,,,,
11,,MF-021,,,,,,,
12,,MF-022,,,,,,,
13,,MF-023,,,,,,,
14,,MF-024,,,,,,,
15,,MF-025,,,,,,,
16,,MF-026,,,,,,,
17,,MF-027,,,,,,,
18,,MF-028,,,,,,,
19,,MF-029,,,,,,,
20,,MF-030,,,,,,,
21,,REVIEW_WINDOW,,,,,,,
22,,REVIEW_WINDOW,,,,,,,
23,,REVIEW_WINDOW,,,,,,,
24,,REVIEW_WINDOW,,,,,,,
25,,SEQUEL_MF-001,,,,,,,
26,,SEQUEL_MF-002,,,,,,,
27,,SEQUEL_MF-003,,,,,,,
28,,PUBLISH_BEST_SEQUEL_1,,,,,,,
29,,PUBLISH_BEST_SEQUEL_2,,,,,,,
30,,CONTROLLED_EXPERIMENT,,,,,,,
